NGSP3MCSTS.SW,GSP3_C3MODE.MODE
NG3A2CV02.DT10,3300QT5AC2H6_PV.HIGH
NG3A2CV02.NX10,3300QT5AC2H6_PV.LOW
GSP3RQEDB.DT02,3300QT5AC2H6_PV.PREDERR
3300QT-5BC3H8.PV,3300QT5BC3H8_PV
NG3A3CV03.NX01,3300QT5BC3H8_PV.MODE
NG3A3CV03.DT10,3300QT5BC3H8_PV.HIGH
NG3A3CV03.NX10,3300QT5BC3H8_PV.LOW
GSP3RQEDB.NX07,3300QT5BC3H8_PV.PREDERR
3304TIR047.PV,3304TIR047_PV
NG3A3CV08.NX01,3304TIR047_PV.MODE
NG3A3CV08.DT10,3304TIR047_PV.HIGH
NG3A3CV08.NX10,3304TIR047_PV.LOW
3304PDIA040.PV,3304PDIA040_PV
NG3A3CV07.NX01,3304PDIA040_PV.MODE
NG3A3CV07.DT10,3304PDIA040_PV.HIGH
NG3A3CV07.NX10,3304PDIA040_PV.LOW
3300GCIU.PV,3300GCIU_PV
NG3A3CV04.NX01,3300GCIU_PV.MODE
NG3A3CV04.DT10,3300GCIU_PV.HIGH
NG3A3CV04.NX10,3300GCIU_PV.LOW
GSP3RQEDB.DT07,3300GCIU_PV.PREDERR
3304TIRC043.PV,3304TIRC043_PV
NG3A3CV06.NX01,3304TIRC043_PV.MODE
NG3A3CV06.DT10,3304TIRC043_PV.HIGH
NG3A3CV06.NX10,3304TIRC043_PV.LOW
3304FICA039.SV,3304FICA039_SV
NG3A3CV09.NX01,3304FICA039_SV.MODE
NG3A3CV09.DT10,3304FICA039_SV.HIGH
NG3A3CV09.NX10,3304FICA039_SV.LOW
GSP3RQEDB.NX02,GSP3RQEDB_NX02
NG3A3CV02.NX01,GSP3RQEDB_NX02.MODE
NG3A3CV02.DT10,GSP3RQEDB_NX02.HIGH
NG3A3CV02.NX10,GSP3RQEDB_NX02.LOW
GSP3RQEDB.DT06,GSP3RQEDB_NX02.PREDERR
GSP3RQEDB.NX03,GSP3RQEDB_NX03
NG3A3CV01.NX01,GSP3RQEDB_NX03.MODE
NG3A3CV01.DT10,GSP3RQEDB_NX03.HIGH
NG3A3CV01.NX10,GSP3RQEDB_NX03.LOW
GSP3RQEDB.DT05,GSP3RQEDB_NX03.PREDERR
3304TI034A.PV,3304TI034A_PV
NG3A3CV05.NX01,3304TI034A_PV.MODE
NG3A3CV05.DT10,3304TI034A_PV.HIGH
NG3A3CV05.NX10,3304TI034A_PV.LOW
